legacy_duplicate_group_id,use_count,cohorts,organizations_count,organizations,models_count,models,canonical_url,resource_id,decision
LEG-DUP-0014,2,2,2,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات | جمعية مكافحة السمنة بمنطقة حائل,2,الملف التعريفي | نموذج صياغة منطلقات ورؤية المنظمة للتطوع,https://docs.google.com/document/d/1Q2toSsz0dei6Snhkxc9kO2rDfRqCMqJa,1Q2toSsz0dei6Snhkxc9kO2rDfRqCMqJa,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0015,2,2,1,جمعية العناية بالمكتبات الخاصة,2,دليل السياسات والإجراءات | نموذج صياغة السياسة العامة للتطوع في الجهة,https://docs.google.com/document/d/1Q9xhzLJmiPiJlXUsZNjWs9nCLOlzaCaO,1Q9xhzLJmiPiJlXUsZNjWs9nCLOlzaCaO,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0016,2,2,1,جمعية التمور للخدمات الإنسانية,2,تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,https://docs.google.com/document/d/1XlovNW-Mb3bDuswGfxWs-Oll--gMohu5,1XlovNW-Mb3bDuswGfxWs-Oll--gMohu5,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0017,2,2,1,جمعية مكافحة السمنة بمنطقة حائل,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://docs.google.com/document/d/1hdzNGCVX2AuwWPmGJ0Xha-iqyGIuRM-u,1hdzNGCVX2AuwWPmGJ0Xha-iqyGIuRM-u,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0018,2,2,2,جمعية عروى الخيرية | جمعية مكافحة السمنة بمنطقة حائل,1,نموذج صياغة السياسة العامة للتطوع في الجهة,https://docs.google.com/document/d/1ijrH9xckcLOoZk7js6qwwLXi7pHYjmpL,1ijrH9xckcLOoZk7js6qwwLXi7pHYjmpL,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0019,2,2,1,جمعية حوائج لحفظ النعمة,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://docs.google.com/document/d/1oFgjVAIHMgv_gsCgCTO_SmVVdWqyWi_o,1oFgjVAIHMgv_gsCgCTO_SmVVdWqyWi_o,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0020,2,2,1,جمعية سلال الغذائية,2,دليل السياسات والإجراءات | نموذج صياغة السياسة العامة للتطوع في الجهة,https://docs.google.com/document/d/1qDvILwKtEIa__c87hn_q3TxLsI-7NZWT,1qDvILwKtEIa__c87hn_q3TxLsI-7NZWT,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0021,2,2,1,جمعية عروى الخيرية,2,الملف التعريفي | نموذج صياغة منطلقات ورؤية المنظمة للتطوع,https://docs.google.com/document/d/1qqGd99mqn2A9EkdDE0giE-L40Nv_o-Fu,1qqGd99mqn2A9EkdDE0giE-L40Nv_o-Fu,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0022,2,2,1,جمعية سلال الغذائية,2,تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,https://docs.google.com/document/d/1tthluyR4cdm-PHTXEWSNG0oav5FSE_dx,1tthluyR4cdm-PHTXEWSNG0oav5FSE_dx,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0023,2,2,1,جمعية الزاد,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://docs.google.com/document/d/1tvjh_VgyMpjwxKnqvjOWKkft6Pduu5Ry,1tvjh_VgyMpjwxKnqvjOWKkft6Pduu5Ry,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0024,2,2,1,جمعية التنمية الأهلية بحرمة,2,تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,https://docs.google.com/document/d/1uJ--dLuhZ0dvAwsdwQYJoklOj4Ed2k_w,1uJ--dLuhZ0dvAwsdwQYJoklOj4Ed2k_w,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0025,2,2,1,جمعية العناية بالمكتبات الخاصة,2,تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية,https://docs.google.com/document/d/1vKaxNnIldJsbUv8BdvG9mkyvIvIej_ST,1vKaxNnIldJsbUv8BdvG9mkyvIvIej_ST,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0026,2,2,1,جمعية رؤية التنموية الاهلية النسائية,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://docs.google.com/document/d/1vcNT9lhIVw7cJ2YEa6VYwAvRzp1yFTbc,1vcNT9lhIVw7cJ2YEa6VYwAvRzp1yFTbc,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0027,2,2,1,جمعية صناعة القدرات الشبابية,2,نموذج الهيكل الإداري والوصف الوظيفي | نموذج تصميم الفرصة التطوعية,https://docs.google.com/document/d/1wjAQSDOHTer4MGREAkaJLFQDerwQ1nxH,1wjAQSDOHTer4MGREAkaJLFQDerwQ1nxH,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0028,17,2,1,جمعية صناعة القدرات الشبابية,17,TOWS Matrix نموذج (الاستدامة) | خارطة الاستراتيجيات | خريطة التعاطف | صياغة سؤال التحدي | نموذج التحليل الشجري | نموذج العصف الذهني Brainstorming. | نموذج تحديد الأولويات | نموذج تحديد التوجه | نموذج تحديد القضايا والتحديات | نموذج تحديد المخاطر والحلول الاحترازية | نموذج تحديد مهام ومؤشرات الخطة | نموذج تحليل الجمهور المستهدف | نموذج تصنيف أصحاب المصلحة | نموذج تلبية توقعات أصحاب المصلحة | نموذج توقعات أصحاب المصلحة | نموذج صياغة التحدي | نموذج مصفوفة أصحاب المصلحة,https://docs.google.com/presentation/d/12ayzHmMyz9Fggzlqv3sy9RFbdpMYjtbW,12ayzHmMyz9Fggzlqv3sy9RFbdpMYjtbW,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0029,4,2,1,لجنة تراحم القصيم,4,TOWS Matrix نموذج (الاستدامة) | نموذج تصنيف أصحاب المصلحة | نموذج توقعات أصحاب المصلحة | نموذج مصفوفة أصحاب المصلحة,https://docs.google.com/presentation/d/1F8jdQs_5-1-LAtnVighjk9ClNlzh78eA,1F8jdQs_5-1-LAtnVighjk9ClNlzh78eA,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0030,2,2,1,جمعية صناعة القدرات الشبابية,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1-hqeQXqv9Gp3FpDp8EOLomIJyVndDWoD,1-hqeQXqv9Gp3FpDp8EOLomIJyVndDWoD,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0031,2,2,1,جمعية مكافحة السمنة بمنطقة حائل,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/13e4ijaty8MOBNcGl2NytANbvYVeoTpTX,13e4ijaty8MOBNcGl2NytANbvYVeoTpTX,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0032,2,2,1,جمعية ابوة لرعاية الايتام بعنيزة,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1EoeuSI0Xzry2numijQvdutBIGH1HOeua,1EoeuSI0Xzry2numijQvdutBIGH1HOeua,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0033,2,2,1,جمعية البيضاء لدعوة والإرشاد وتوعية الجاليات,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1LglMeIprbUl77NX47y_BhuTlkZZZC4TG,1LglMeIprbUl77NX47y_BhuTlkZZZC4TG,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0034,2,2,1,جمعية طب القدم والكاحل,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1OJPmjAi8c7DACRyh4O9w3qpmOv1ymCTc,1OJPmjAi8c7DACRyh4O9w3qpmOv1ymCTc,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0035,2,2,1,جمعية سدير الزراعية,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1SB5fqGzXZ2JuHRyndMkGa4CGtla9-zfG,1SB5fqGzXZ2JuHRyndMkGa4CGtla9-zfG,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0036,2,2,1,تراحم الرياض,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1crg3yxuegpvX9dkmhEppcOQMjXE2aoc7,1crg3yxuegpvX9dkmhEppcOQMjXE2aoc7,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0037,2,2,1,جمعية عروى الخيرية,2,أداة تقييم الجاهزية | نموذج خطة سد الفجوات,https://docs.google.com/spreadsheets/d/1d5Q1I2nj0SyJ2Tzq2WD9L4hh9ZdK2oIG,1d5Q1I2nj0SyJ2Tzq2WD9L4hh9ZdK2oIG,PRESERVE_AND_FLAG_NO_MERGE
