source_record_id,canonical_org_id,canonical_org_name,cohort,source_side,source_org_id,name_as_written,normalized_name,source_files,source_rows,consultant_names,evaluator_names,roster_status,records_count
SRC-LEG-LEG-ORG-B4-008,ORG-A07-06,هيئة تطويرمنطقة المدينة المنورة,4,legacy,LEG-ORG-B4-008,هيئة تطويرمنطقة المدينة المنورة,هيئهتطويرمنطقهالمدينهالمنوره,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!9 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | هيئة تطويرمنطقة المدينة المنورة!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | هيئة تطويرمنطقة المدينة المنورة!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-009,ORG-A07-07,جمعية مجلس حي اجيال الاجتماعي,4,legacy,LEG-ORG-B4-009,جمعية مجلس حي اجيال الاجتماعي,جمعيهمجلسحياجيالالاجتماعي,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!10 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | جمعية مجلس حي اجيال الاجتماعي!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | جمعية مجلس حي اجيال الاجتماعي!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-010,ORG-A07-01,جمعية سقيا الخيرية,4,legacy,LEG-ORG-B4-010,جمعية سقيا الخيرية,جمعيهسقياالخيريه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!11 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | جمعية سقيا الخيرية!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | جمعية سقيا الخيرية!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-011,ORG-A07-03,جمعية التنمية الأهلية ببداء,4,legacy,LEG-ORG-B4-011,جمعية التنمية الأهلية ببداء,جمعيهالتنميهالاهليهببداء,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!12 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | جمعية التنمية الأهلية ببداء!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | جمعية التنمية الأهلية ببداء!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-012,ORG-A07-04,جمعية البر الخيرية بمركز حقال,4,legacy,LEG-ORG-B4-012,جمعية البر الخيرية بمركز حقال,جمعيهالبرالخيريهبمركزحقال,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!13 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | جمعية البر الخيرية بمركز حقال!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | جمعية البر الخيرية بمركز حقال!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-013,ORG-A07-05,جمعية حرف التعليمية,4,legacy,LEG-ORG-B4-013,جمعية حرف التعليمية,جمعيهحرفالتعليميه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!14 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | جمعية حرف التعليمية!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | جمعية حرف التعليمية!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-014,ORG-A07-02,هيئة تطوير محمية الإمام عبدالعزيز بن محمد الملكية,4,legacy,LEG-ORG-B4-014,هيئة تطوير محمية الإمام عبدالعزيز بن محمد الملكية,هيئهتطويرمحميهالامامعبدالعزيزبنمحمدالملكيه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!15 || dashboard_bundle_1/الدفعة 4/المحكم-بندر الحارثي.xlsx | هيئة تطوير محمية الإمام!2 || dashboard_bundle_1/الدفعة 4/المستشار-فهد ظافر.xlsx | هيئة تطوير محمية الإمام عبدالعز!2,فهد ظافر,بندر الحارثي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-015,ORG-A08-10,التأمينات الاجتماعية,4,legacy,LEG-ORG-B4-015,التأمينات الاجتماعية,التاميناتالاجتماعيه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!16 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | التأمينات الاجتماعية!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | التأمينات الاجتماعية!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-016,ORG-A08-13,جمعية مسكن للإسكان التنموي,4,legacy,LEG-ORG-B4-016,جمعية مسكن للإسكان التنموي,جمعيهمسكنللاسكانالتنموي,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!17 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | جمعية مسكن للإسكان التنموي!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | جمعية مسكن للإسكان التنموي!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-017,ORG-A08-09,جمعية ميراث العلمية,4,legacy,LEG-ORG-B4-017,جمعية ميراث العلمية,جمعيهميراثالعلميه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!18 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | جمعية ميراث العلمية!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | جمعية ميراث العلمية!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-018,ORG-A08-01,جمعية البر الخيرية بالقنفذة,4,legacy,LEG-ORG-B4-018,جمعية البر الخيرية بالقنفذة,جمعيهالبرالخيريهبالقنفذه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!19 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | جمعية البر الخيرية بالقنفذة!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | جمعية البر الخيرية بالقنفذة!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-019,ORG-A08-15,جمعية رواء للتنمية الأسرية,4,legacy,LEG-ORG-B4-019,جمعية رواء للتنمية الأسرية,جمعيهرواءللتنميهالاسريه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!20 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | جمعية رواء للتنمية الأسرية!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | جمعية رواء للتنمية الأسرية!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-020,ORG-A08-03,جمعية مسارات الشبابية,4,legacy,LEG-ORG-B4-020,جمعية مسارات الشبابية,جمعيهمساراتالشبابيه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!21 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | جمعية مسارات الشبابية!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | جمعية مسارات الشبابية!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-021,ORG-A08-06,أمانة المنطقة الشرقية,4,legacy,LEG-ORG-B4-021,أمانة المنطقة الشرقية,امانهالمنطقهالشرقيه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!22 || dashboard_bundle_1/الدفعة 4/المحكم-محمد العبدالجبار.xlsx | أمانة المنطقة الشرقية!2 || dashboard_bundle_1/الدفعة 4/المستشار-محمد الحليبي.xlsx | أمانة المنطقة الشرقية!2,محمد الحليبي,محمد العبدالجبار,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-022,ORG-A01-04,جمعية أطفال طيبة,4,legacy,LEG-ORG-B4-022,جمعية أطفال طيبة,جمعيهاطفالطيبه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-نجود السيد.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!23 || dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx | جمعية أطفال طيبة!2 || dashboard_bundle_1/الدفعة 4/المستشار-نجود السيد.xlsx | جمعية أطفال طيبة!2,نجود السيد,بتول الرويلي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-023,ORG-A01-02,مؤسسة الاميرة العنود,4,legacy,LEG-ORG-B4-023,مؤسسة الاميرة العنود,مؤسسهالاميرهالعنود,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-نجود السيد.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!24 || dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx | مؤسسة الاميرة العنود!2 || dashboard_bundle_1/الدفعة 4/المستشار-نجود السيد.xlsx | مؤسسة الاميرة العنود!2,نجود السيد,بتول الرويلي,PRIMARY_ROSTER,47
SRC-LEG-LEG-ORG-B4-024,ORG-A01-03,جمعية ابتسم لخدمات طب الأسنان التطوعية,4,legacy,LEG-ORG-B4-024,جمعية ابتسم لخدمات طب الأسنان التطوعية,جمعيهابتسملخدماتطبالاسنانالتطوعيه,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx | dashboard_bundle_1/الدفعة 4/المستشار-نجود السيد.xlsx,dashboard_bundle_1/الدفعة 4/بيانات الجهات4.xlsx | 4بيانات الجهات!25 || dashboard_bundle_1/الدفعة 4/المحكم-بتول الرويلي.xlsx | جمعية ابتسم لخدمات طب الأسنان!2 || dashboard_bundle_1/الدفعة 4/المستشار-نجود السيد.xlsx | جمعية ابتسم لخدمات طب الأسنان!2,نجود السيد,بتول الرويلي,PRIMARY_ROSTER,47
