proposed_canonical_org_id,proposed_canonical_name,cohort,member_candidate_ids,member_names,has_legacy,has_lovable,legacy_count,lovable_count,match_status,match_reason,confidence,requires_human_review,blocking_issue
ORG-A01-01,جمعية المشي والجري,4,ORG-A01-01 | LEG-ORG-B4-027,جمعية المشي والجري | جمعية المشي والجري,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A01-02,مؤسسة الاميرة العنود,4,ORG-A01-02 | LEG-ORG-B4-023,مؤسسة الاميرة العنود | مؤسسة الاميرة العنود,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A01-03,جمعية ابتسم لخدمات طب الأسنان التطوعية,4,ORG-A01-03 | LEG-ORG-B4-024,جمعية ابتسم لخدمات طب الأسنان التطوعية | جمعية ابتسم لخدمات طب الأسنان التطوعية,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A01-04,جمعية أطفال طيبة,4,ORG-A01-04 | LEG-ORG-B4-022,جمعية أطفال طيبة | جمعية أطفال طيبة,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A01-05,جمعية ساعد القانونية لخدمة الأرامل والايتام,4,ORG-A01-05 | LEG-ORG-B4-026,جمعية ساعد القانونية لخدمة الأرامل والايتام | جمعية ساعد القانونية لخدمة الأرامل والايتام,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A02-01,جمعية عمارة للعناية بالمساجد بجازان,3,ORG-A02-01 | LEG-ORG-B3-019,جمعية عمارة للعناية بالمساجد بجازان | جمعية عمارة للعناية بالمساجد بجازان,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A02-02,جمعية التنمية الأهلية بتبوك شيم,3,ORG-A02-02 | LEG-ORG-B3-020,جمعية التنمية الأهلية بتبوك شيم | جمعية التنمية الأهلية بتبوك شيم,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A02-03,جمعية مواساة لإكرام الموتى بعسير,3,ORG-A02-03 | LEG-ORG-B3-016,جمعية مواساة لإكرام الموتى بعسير | جمعية مواساة لإكرام الموتى بعسير,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A02-04,جمعية الإسكان التنموي بعسير,3,ORG-A02-04 | LEG-ORG-B3-018,جمعية الإسكان التنموي بعسير | جمعية الإسكان التنموي بعسير,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A02-05,جمعية نُبل الشبابية,3,ORG-A02-05 | LEG-ORG-B3-023,جمعية نُبل الشبابية | جمعية نُبل الشبابية,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A02-06,جمعية التنمية الأهلية برفحاء,3,ORG-A02-06 | LEG-ORG-B3-021,جمعية التنمية الأهلية برفحاء | جمعية التنمية الأهلية برفحاء,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
ORG-A03-01,جمعية البر لقرى جنوب مكة,3,ORG-A03-01 | LEG-ORG-B3-028,جمعية البر لقرى جنوب مكة | جمعية البر لقرى جنوب مكة,true,true,1,1,EXACT_SAME_ORGANIZATION,"score=1.0, jaccard=1.0",1.0,False,
