participation_id,proposed_canonical_org_id,canonical_org_name,cohort,cohort_label,organization_name_as_written,normalized_name,source,source_record_ids,legacy_org_ids,lovable_org_ids,source_files,source_sheets,source_rows,consultant_names,evaluator_names,first_recorded_at,last_recorded_at,roster_status,model_family_count,model_version_count,latest_outputs_count,links_count,participation_evidence,cohort_confidence,possible_previous_participation,possible_next_participation,requires_review
PART-LEG-LEG-ORG-B1-014,LEG-ORG-B1-014,جمعية المحترفون للبحث والإنقاذ,1,دفعة 1,جمعية المحترفون للبحث والإنقاذ,جمعيهالمحترفونللبحثوالانقاذ,legacy,LEG-ORG-B1-014,LEG-ORG-B1-014,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!15 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!5,هنادي شعيب,أ . محمد العبدالجبار,2024-11-14,2025-05-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-014,HIGH,,,false
PART-LEG-LEG-ORG-B1-015,LEG-ORG-B1-015,جمعية مكث النسائية للريادة الشبابية,1,دفعة 1,جمعية مكث النسائية للريادة الشبابية,جمعيهمكثالنسائيهللريادهالشبابيه,legacy,LEG-ORG-B1-015,LEG-ORG-B1-015,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!16 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!7,هنادي شعيب,أ . محمد العبدالجبار,2024-11-14,2025-05-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-015,HIGH,,,false
PART-LEG-LEG-ORG-B1-016,LEG-ORG-B1-016,جمعية وفاء للخدمات القانونية للمرأة,1,دفعة 1,جمعية وفاء للخدمات القانونية للمرأة,جمعيهوفاءللخدماتالقانونيهللمراه,legacy,LEG-ORG-B1-016,LEG-ORG-B1-016,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!17 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!6,هنادي شعيب,أ . محمد العبدالجبار,2024-11-14,2025-05-05,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-016,HIGH,,,false
PART-LEG-LEG-ORG-B1-017,LEG-ORG-B1-017,مؤسسة عبدالمنعم الراشد الإنسانية,1,دفعة 1,مؤسسة عبدالمنعم الراشد الإنسانية,مؤسسهعبدالمنعمالراشدالانسانيه,legacy,LEG-ORG-B1-017,LEG-ORG-B1-017,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!18 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!22,هشام الغامدي,أ . محمد العبدالجبار,2024-11-14,,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-017,HIGH,,,false
PART-LEG-LEG-ORG-B1-018,LEG-ORG-B1-018,جمعية واعد الشبابية,1,دفعة 1,جمعية واعد الشبابية,جمعيهواعدالشبابيه,legacy,LEG-ORG-B1-018,LEG-ORG-B1-018,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!19 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!18,هشام الغامدي,أ . محمد العبدالجبار,2024-11-14,2025-07-27,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-018,HIGH,,,false
PART-LEG-LEG-ORG-B1-019,LEG-ORG-B1-019,جمعية التنمية الأهلية بالصالحية,1,دفعة 1,جمعية التنمية الأهلية بالصالحية,جمعيهالتنميهالاهليهبالصالحيه,legacy,LEG-ORG-B1-019,LEG-ORG-B1-019,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!20 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!23,خالد الصفحي,أ . محمد العبدالجبار,2024-11-14,2025-07-20,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-019,HIGH,,,false
PART-LEG-LEG-ORG-B1-020,LEG-ORG-B1-020,جمعية العناية بشؤون الموتى إحسان,1,دفعة 1,جمعية العناية بشؤون الموتى إحسان,جمعيهالعنايهبشؤونالموتياحسان,legacy,LEG-ORG-B1-020,LEG-ORG-B1-020,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!21 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!28,خالد الصفحي,أ . محمد العبدالجبار,2024-11-14,2025-07-20,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-020,HIGH,,,false
PART-LEG-LEG-ORG-B1-021,LEG-ORG-B1-021,جمعية التنمية الأهلية بالملاحة,1,دفعة 1,جمعية التنمية الأهلية بالملاحة,جمعيهالتنميهالاهليهبالملاحه,legacy,LEG-ORG-B1-021,LEG-ORG-B1-021,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!22 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!21,هشام الغامدي,أ . محمد العبدالجبار,2024-11-14,2025-07-27,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-021,HIGH,,,false
PART-LEG-LEG-ORG-B1-022,LEG-ORG-B1-022,جمعية سند للمسؤولية الاجتماعية بالأحساء,1,دفعة 1,جمعية سند للمسؤولية الاجتماعية بالأحساء,جمعيهسندللمسؤوليهالاجتماعيهبالاحساء,legacy,LEG-ORG-B1-022,LEG-ORG-B1-022,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_1/الجهات المشاركة في الدفعة الأولى.xlsx | ورقة1!23 || dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!20,هشام الغامدي,أ . محمد العبدالجبار,2024-11-14,2025-07-27,PRIMARY_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-022,HIGH,,,false
PART-LEG-LEG-ORG-B1-023,LEG-ORG-B1-023,جمعية العمل التطوعي,1,دفعة 1,جمعية العمل التطوعي,جمعيهالعملالتطوعي,legacy,LEG-ORG-B1-023,LEG-ORG-B1-023,,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx,,dashboard_bundle_2/جمعيات الدفعة الاولى.xlsx | ورقة3!19,,,,,SUPPLEMENTAL_ROSTER,0,0,,0,legacy_org_id=LEG-ORG-B1-023,HIGH,,,false
